,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
77,Pozo Colorado,100,PY,06/22/2021,79,-23.4923,-58.7972,62.85,3.91
78,Ypres,100,BE,06/22/2021,84,50.8511,2.8857,56.95,1.01
79,Murgab,0,TM,06/22/2021,43,37.4966,61.9714,73.27,6.91
80,Krasnosel'kup,100,RU,06/22/2021,91,65.7,82.4667,41.27,8.25
81,Bandarbeyla,97,SO,06/22/2021,79,9.4942,50.8122,77.23,22.41
82,Seryshevo,93,RU,06/22/2021,68,51.0933,128.3786,72.75,3.38
83,Oranjemund,17,NA,06/22/2021,97,-28.55,16.4333,56.32,2.51
84,Zhengjiatun,0,CN,06/22/2021,43,43.5064,123.5064,74.95,6.24
85,Port Alfred,57,ZA,06/22/2021,78,-33.5906,26.891,62.13,6.31
86,Sovetskiy,8,RU,06/22/2021,86,61.3614,63.5842,47.71,5.66
87,Saint-Pierre,52,RE,06/22/2021,68,-21.3393,55.4781,64.4,8.05
88,Plettenberg Bay,69,ZA,06/22/2021,82,-34.0527,23.3716,59.04,2.35
89,Shimoda,100,JP,06/22/2021,76,34.6667,138.95,73.76,13.13
90,Geraldton,90,AU,06/22/2021,93,-28.7667,114.6,46.81,6.91
91,Malartic,94,CA,06/22/2021,75,48.1335,-78.1328,53.71,3.49
92,East London,62,ZA,06/22/2021,72,-33.0153,27.9116,67.71,5.91
93,Turukhansk,100,RU,06/22/2021,93,65.8167,87.9833,42.15,10.45
94,Malanville,61,BJ,06/22/2021,71,11.8685,3.3899,81.01,4.41
95,Altay,97,CN,06/22/2021,80,47.8667,88.1167,49.82,2.28
96,Nemuro,20,JP,06/22/2021,77,43.3236,145.575,64.4,3.44
97,Sechura,39,PE,06/22/2021,73,-5.5569,-80.8222,70.5,17.72
98,Amahai,92,ID,06/22/2021,78,-3.3333,128.9167,80.71,2.19
99,Meulaboh,100,ID,06/22/2021,95,4.1363,96.1285,72.46,7.67
100,Pierre,1,US,06/22/2021,15,44.3683,-100.351,88.72,12.66
101,Esna,0,EG,06/22/2021,25,25.2934,32.554,86.0,4.61
102,Dickinson,75,US,06/22/2021,71,29.4608,-95.0513,89.87,1.01
103,Thurso,98,GB,06/22/2021,67,58.5927,-3.5259,53.85,5.14
104,Shingū,100,JP,06/22/2021,80,33.7333,135.9833,74.91,9.06
105,San Policarpo,100,PH,06/22/2021,75,12.1791,125.5072,82.06,2.93
106,Paita,38,PE,06/22/2021,85,-5.0892,-81.1144,67.98,15.32
107,Isangel,75,VU,06/22/2021,73,-19.55,169.2667,77.0,9.22
108,Yarkovo,96,RU,06/22/2021,81,57.4028,67.0786,49.68,6.55
109,Dudinka,100,RU,06/22/2021,80,69.4058,86.1778,42.06,13.42
110,Hong Kong,100,HK,06/22/2021,88,22.2855,114.1577,83.32,1.01
111,Sangar,81,RU,06/22/2021,36,63.9242,127.4739,72.66,5.55
112,Tasiilaq,17,GL,06/22/2021,74,65.6145,-37.6368,41.16,4.03
113,Itarema,77,BR,06/22/2021,75,-2.9248,-39.9167,79.12,13.82
114,Road Town,40,VG,06/22/2021,74,18.4167,-64.6167,81.19,11.5
115,Dolores,44,AR,06/22/2021,95,-36.3132,-57.6792,47.26,7.56
116,Uchiza,76,PE,06/22/2021,94,-8.4592,-76.4633,70.12,2.66
117,Shemonaīkha,100,KZ,06/22/2021,93,50.6328,81.9056,49.75,5.14
118,Khovd,69,MN,06/22/2021,36,48.0056,91.6419,61.05,8.93
119,Ishigaki,75,JP,06/22/2021,89,24.3448,124.1572,82.53,5.75
120,Saskylakh,73,RU,06/22/2021,61,71.9167,114.0833,53.87,12.95
121,Bijela,0,BA,06/22/2021,67,43.6086,17.9519,66.9,1.66
122,Port Moresby,32,PG,06/22/2021,70,-9.4431,147.1797,81.41,4.09
123,Longyearbyen,75,SJ,06/22/2021,75,78.2186,15.6401,39.04,10.36
124,Aksarka,46,RU,06/22/2021,59,66.5606,67.7975,46.4,11.97
125,Bredasdorp,86,ZA,06/22/2021,72,-34.5322,20.0403,57.2,2.3
126,Severo-Kuril'sk,72,RU,06/22/2021,84,50.6789,156.125,46.94,6.2
127,Yellowknife,20,CA,06/22/2021,42,62.456,-114.3525,63.12,18.41
128,Zhigansk,58,RU,06/22/2021,46,66.7697,123.3711,77.07,2.98
129,Umm Kaddadah,100,SD,06/22/2021,38,13.6017,26.6876,85.26,16.73
130,Santa Maria,75,BR,06/22/2021,100,-29.6842,-53.8069,54.7,8.05
131,Arraial do Cabo,89,BR,06/22/2021,78,-22.9661,-42.0278,70.75,19.19
132,Leningradskiy,83,RU,06/22/2021,61,69.3833,178.4167,46.74,11.16
133,Bathsheba,40,BB,06/22/2021,73,13.2167,-59.5167,79.41,19.57
134,Northam,16,GB,06/22/2021,82,51.0333,-4.2167,55.62,8.32
135,Los Llanos de Aridane,75,ES,06/22/2021,73,28.6585,-17.9182,69.8,14.97
136,Hartselle,0,US,06/22/2021,73,34.4434,-86.9353,78.04,6.08
137,Butaritari,29,KI,06/22/2021,69,3.0707,172.7902,83.12,7.52
138,Hambantota,98,LK,06/22/2021,81,6.1241,81.1185,79.38,14.45
139,Yarke Pole,12,UA,06/22/2021,91,45.608,34.3172,66.4,6.64
140,Maniitsoq,4,GL,06/22/2021,69,65.4167,-52.9,45.59,12.37
141,Peniche,14,PT,06/22/2021,86,39.3558,-9.3811,62.73,21.88
142,Mercedes,11,AR,06/22/2021,78,-34.6515,-59.4307,54.0,3.0
143,Zhezkazgan,60,KZ,06/22/2021,46,47.8043,67.7144,60.19,7.27
144,Bereda,82,ES,06/22/2021,100,43.2686,-7.5406,55.0,3.69
145,Souillac,75,MU,06/22/2021,68,-20.5167,57.5167,70.18,11.5
146,Port Lincoln,29,AU,06/22/2021,72,-34.7333,135.8667,52.97,21.34
147,Forestville,1,US,06/22/2021,74,38.8451,-76.875,68.25,6.91
148,Hithadhoo,99,MV,06/22/2021,67,-0.6,73.0833,82.13,4.41
149,Parrita,75,CR,06/22/2021,88,9.5201,-84.3225,69.8,2.59
150,Benjamin Constant,76,BR,06/22/2021,96,-4.3831,-70.0311,72.55,2.39
151,College,40,US,06/22/2021,36,64.8569,-147.8028,80.01,5.75
152,Paldiski,31,EE,06/22/2021,88,59.3567,24.0531,71.85,4.97
153,Envira,42,BR,06/22/2021,69,-7.3,-70.2167,76.08,2.08
154,Haverfordwest,25,GB,06/22/2021,87,51.8017,-4.9691,55.54,7.65
155,Caravelas,60,BR,06/22/2021,81,-17.7125,-39.2481,71.08,4.63
156,Kaitangata,26,NZ,06/22/2021,63,-46.2817,169.8464,50.94,3.49
157,Solon,40,US,06/22/2021,48,41.3898,-81.4412,62.01,4.61
158,Sibolga,100,ID,06/22/2021,86,1.7427,98.7792,73.53,2.91
159,Jalu,0,LY,06/22/2021,28,29.0331,21.5482,85.84,3.31
160,Ibipeba,56,BR,06/22/2021,76,-11.6408,-42.0111,70.07,7.16
161,Kemijärvi,71,FI,06/22/2021,95,66.7131,27.4306,48.29,8.88
162,Mar del Plata,75,AR,06/22/2021,60,-38.0023,-57.5575,54.12,11.99
163,Nikolskoye,0,RU,06/22/2021,73,59.7035,30.7861,73.4,6.71
164,Vila Velha,75,BR,06/22/2021,78,-20.3297,-40.2925,71.55,8.05
165,Pangkalanbuun,70,ID,06/22/2021,93,-2.6833,111.6167,76.44,2.75
166,Provideniya,0,RU,06/22/2021,62,64.3833,-173.3,50.11,11.18
167,Caçu,33,BR,06/22/2021,44,-18.5567,-51.1308,74.21,4.29
168,Santa Cruz de la Sierra,75,BO,06/22/2021,88,-17.8,-63.1667,65.66,16.11
169,Portalegre,37,PT,06/22/2021,61,39.2938,-7.4312,58.93,4.85
170,Pevek,98,RU,06/22/2021,75,69.7008,170.3133,38.68,4.25
171,Cambará,64,BR,06/22/2021,88,-23.0464,-50.0736,62.1,4.88
172,Upala,75,CR,06/22/2021,83,10.8979,-85.0145,78.8,3.44
173,Vao,60,NC,06/22/2021,68,-22.6667,167.4833,69.04,20.13
174,Beira,6,MZ,06/22/2021,85,-19.8436,34.8389,66.43,1.66
175,Campos dos Goytacazes,37,BR,06/22/2021,91,-21.75,-41.3,64.4,5.21
176,Iwanai,4,JP,06/22/2021,50,42.9744,140.5089,72.23,3.4
177,Knysna,71,ZA,06/22/2021,82,-34.0363,23.0471,55.78,0.76
178,Agirish,6,RU,06/22/2021,90,61.9247,63.0231,46.44,5.57
179,Teeli,53,RU,06/22/2021,67,51.0333,90.2333,55.6,2.04
180,Eureka,67,US,06/22/2021,70,40.8021,-124.1637,75.67,5.99
181,Coyhaique,0,CL,06/22/2021,100,-45.5752,-72.0662,30.15,0.0
182,Hutchinson,1,US,06/22/2021,26,38.0608,-97.9298,86.0,21.85
183,Hope,0,US,06/22/2021,57,33.6671,-93.5916,82.45,5.57
184,Batasan,100,PH,06/22/2021,75,12.7667,120.7833,82.31,2.33
185,Palora,65,EC,06/22/2021,96,-1.7,-77.9333,65.55,1.12
186,Adrar,13,MR,06/22/2021,16,20.5022,-10.0711,89.08,17.83
187,Saint Anthony,1,US,06/22/2021,32,45.0205,-93.218,76.96,1.99
188,Gamba,100,GA,06/22/2021,88,-2.65,10.0,73.58,4.05
189,Luan,98,CH,06/22/2021,91,46.3592,6.9759,54.91,1.99
190,Husavik,100,IS,06/22/2021,96,66.0449,-17.3389,46.31,16.51
191,Payao,85,PH,06/22/2021,73,10.1833,122.95,82.09,1.05
192,Kaeo,2,NZ,06/22/2021,60,-35.1,173.7833,62.33,7.43
193,North Battleford,20,CA,06/22/2021,39,52.7834,-108.2847,82.49,12.66
194,Chui,62,UY,06/22/2021,85,-33.6971,-53.4616,54.05,9.17
195,Manaure,93,CO,06/22/2021,70,11.7751,-72.4445,82.53,21.0
196,Mufumbwe,48,ZM,06/22/2021,58,-13.6833,24.8,49.8,4.76
197,Najrān,0,SA,06/22/2021,17,17.4924,44.1277,82.4,4.07
