,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
80,Kununurra,40,AU,1624416757,54,-15.7667,128.7333,85.98,5.75
81,Samarkand,0,UZ,1624416758,28,39.6542,66.9597,72.82,11.5
82,Teguise,75,ES,1624416758,73,29.0605,-13.564,64.62,16.11
83,Puerto Ayora,73,EC,1624416759,91,-0.7393,-90.3518,72.55,5.01
84,Padang,95,ID,1624416759,62,-0.9492,100.3543,86.05,5.46
85,Freeport,90,US,1624416487,83,40.6576,-73.5832,62.98,5.99
86,Iqaluit,75,CA,1624416760,93,63.7506,-68.5145,35.33,8.99
87,Indianola,88,US,1624416760,90,41.3581,-93.5574,65.91,8.19
88,Fortuna,1,US,1624416760,69,40.5982,-124.1573,69.19,1.01
89,Olinda,75,BR,1624416761,78,-8.0089,-34.8553,73.13,4.61
90,Poum,2,NC,1624416761,61,-20.2333,164.0167,72.5,9.71
91,Ahipara,90,NZ,1624416761,63,-35.1667,173.1667,58.96,7.61
92,Saint George,1,US,1624416663,11,37.1041,-113.5841,99.19,1.01
93,Barrow,1,US,1624416679,61,71.2906,-156.7887,48.22,8.05
94,Aripuanã,17,BR,1624416762,65,-9.1667,-60.6333,73.36,0.89
95,Tuktoyaktuk,90,CA,1624416762,93,69.4541,-133.0374,39.2,5.75
96,São José da Coroa Grande,16,BR,1624416763,85,-8.8978,-35.1478,75.09,3.6
97,Carutapera,6,BR,1624416763,91,-1.195,-46.02,74.66,4.88
98,Srednekolymsk,68,RU,1624416764,30,67.45,153.6833,74.66,2.37
99,Flinders,100,AU,1624416764,70,-34.5833,150.8552,65.05,5.01
100,Sosnovo-Ozerskoye,25,RU,1624416764,40,52.5249,111.5418,77.5,5.91
101,Turukhansk,79,RU,1624416765,69,65.8167,87.9833,48.45,5.82
102,Riverton,1,US,1624416766,30,40.5219,-111.9391,96.04,10.36
103,São Bento,2,BR,1624416766,72,-6.2833,-37.75,69.91,4.88
104,Sukhobezvodnoye,0,RU,1624416766,71,57.0491,44.8891,72.79,4.36
105,Fagernes,8,NO,1624416767,96,60.9858,9.2324,48.27,1.72
106,Bengkulu,84,ID,1624416767,68,-3.8004,102.2655,82.45,3.94
107,Bandarbeyla,99,SO,1624416715,77,9.4942,50.8122,77.38,21.99
108,Airai,48,TL,1624416767,66,-8.9266,125.4092,72.09,0.98
109,Butaritari,11,KI,1624416682,70,3.0707,172.7902,83.25,8.01
110,Cherskiy,100,RU,1624416768,33,68.75,161.3,69.04,11.3
111,Virú,8,PE,1624416768,83,-8.4167,-78.75,66.13,4.16
112,Kirensk,30,RU,1624416769,46,57.7853,108.1119,79.34,4.09
113,Dumai,99,ID,1624416769,66,1.6833,101.45,81.9,3.6
114,Poltavka,100,RU,1624416770,96,54.3663,71.7632,50.41,9.82
115,Bethel,100,US,1624416735,88,41.3712,-73.414,60.04,3.0
116,Kahului,1,US,1624416770,72,20.8947,-156.47,83.46,21.85
117,Ekhabi,94,RU,1624416771,66,53.5102,142.9671,58.3,13.78
118,Port Hedland,71,AU,1624416665,45,-20.3167,118.5667,64.45,17.27
119,Dalvik,100,IS,1624416771,97,65.9702,-18.5286,44.53,4.23
120,Nanortalik,100,GL,1624416771,93,60.1432,-45.2371,42.67,11.41
121,Cidreira,3,BR,1624416772,91,-30.1811,-50.2056,59.59,10.02
122,Jiayuguan City,100,CN,1624416772,59,39.8167,98.3,63.97,5.73
123,Ancud,100,CL,1624416772,94,-41.8697,-73.8203,45.23,7.02
124,Portland,40,US,1624416019,53,45.5234,-122.6762,83.55,1.01
125,San Patricio,3,US,1624416664,81,28.017,-97.5169,84.29,8.57
126,Hong Kong,100,HK,1624416740,99,22.2855,114.1577,84.25,3.6
127,Kaitangata,100,NZ,1624416698,77,-46.2817,169.8464,47.17,3.76
128,Casper,1,US,1624416773,20,42.8666,-106.3131,84.79,1.01
129,Jamestown,1,US,1624416664,71,42.097,-79.2353,58.59,4.61
130,Boa Vista,75,BR,1624416774,88,2.8197,-60.6733,75.18,4.61
131,Tilbury,82,GB,1624416774,87,51.4625,0.3586,52.99,5.37
132,Vestmannaeyjar,100,IS,1624416774,83,63.4427,-20.2734,46.99,12.08
133,Lorengau,7,PG,1624416775,73,-2.0226,147.2712,84.04,8.05
134,Pushkinskiye Gory,23,RU,1624416775,93,57.0209,28.9103,68.4,4.85
135,Lompoc,1,US,1624416775,76,34.6391,-120.4579,70.79,8.99
136,Vila Franca do Campo,100,PT,1624416775,81,37.7167,-25.4333,64.81,3.87
137,Kavaratti,100,IN,1624416776,74,10.5669,72.642,83.14,16.87
138,Östersund,90,SE,1624416777,87,63.1792,14.6357,51.62,5.75
139,Crestview,40,US,1624416621,79,30.7621,-86.5705,79.88,4.61
140,Carnarvon,0,AU,1624416661,51,-24.8667,113.6333,59.07,10.36
141,Sonoita,63,MX,1624416777,30,31.85,-112.8333,92.53,2.3
142,Broken Hill,90,AU,1624416778,67,-31.95,141.4333,58.71,17.27
143,Turan,20,VN,1624416778,41,16.0678,108.2208,96.85,2.3
144,Tasiilaq,46,GL,1624416779,73,65.6145,-37.6368,33.17,2.17
145,Chui,15,UY,1624416669,87,-33.6971,-53.4616,53.83,9.53
146,Turan,20,VN,1624416769,41,16.0678,108.2208,96.85,2.3
147,Wamba,97,NG,1624416648,89,8.9333,8.6,69.37,1.7
148,Nuuk,100,GL,1624416779,81,64.1835,-51.7216,44.19,8.21
149,Hobyo,100,SO,1624416780,84,5.3505,48.5268,76.33,17.63
150,Provideniya,0,RU,1624416780,71,64.3833,-173.3,50.11,11.18
151,Lødingen,96,NO,1624416780,78,68.414,15.9951,49.44,11.01
152,Clyde River,90,CA,1624416781,93,70.4692,-68.5914,34.03,11.5
153,Amahai,48,ID,1624416781,70,-3.3333,128.9167,84.07,3.4
